Formulation,Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,Viscosity_at_shear_rate_1_1/s,Viscosity_at_shear_rate_10_1/s,Viscosity_at_shear_rate_100_1/s,Source_Batch
F1,Hypermer,73.0,0.5,10.5664,3.78921,1.99755,Batch_1
F1,Hypermer,73.0,0.25,71.6519,14.0846,4.82515,Batch_1
F1,Hypermer,73.0,0.25,9.64639,3.26827,1.6172,Batch_1
F1,Hypermer,77.0,0.25,61.1107,18.7745,7.5122,Batch_1
F1,Hypermer,73.0,0.25,8.37111,4.83186,2.30422,Batch_1
F1,Hypermer,77.0,0.25,162.776,28.9851,7.93692,Batch_1
F1,Hypermer,69.0,0.5,4.98152,2.31158,1.36993,Batch_1
F1,Hypermer,69.0,0.25,8.5073,4.40608,2.29773,Batch_1
F1,Hypermer,69.0,0.25,4.37966,3.60828,2.0202,Batch_1
F1,Hypermer,77.0,0.5,129.482,24.3975,8.76944,Batch_1
F1,Hypermer,73.0,0.5,15.882,4.3786,2.10893,Batch_1
F1,Hypermer,73.0,0.5,18.1489,4.59986,2.1553,Batch_1
F1,Hypermer,69.0,0.5,3.05013,1.3047,0.74731,Batch_1
F1,Hypermer,77.0,0.5,95.2236,18.1509,6.8026,Batch_1
F1,Hypermer,69.0,0.25,1.90029,1.42781,0.94581,Batch_1
F1,Hypermer,77.0,0.5,100.117,18.5667,6.96283,Batch_1
F1,Hypermer,69.0,0.5,2.8679,1.07754,0.60523,Batch_1
F1,Hypermer,77.0,0.25,167.752,31.0399,9.12519,Batch_1
F2,Hypermer,73.0,0.5,4.07944,1.36213,0.70335,Batch_1
F2,Hypermer,73.0,0.5,6.73985,2.45867,0.84941,Batch_1
F2,Hypermer,73.0,0.5,4.74553,1.61682,0.75119,Batch_1
F3,Hypermer,73.0,0.5,5.98323,3.36701,2.34759,Batch_1
F3,Hypermer,73.0,0.5,12.1759,6.3256,2.71829,Batch_1
F3,Hypermer,73.0,0.5,6.33077,3.35258,2.30837,Batch_1
F1,none,73.0,0.0,31.1306,8.76105,3.94637,Batch_1
F1,none,77.0,0.0,272.664,38.1026,10.2869,Batch_1
F1,none,73.0,0.0,26.6677,8.68176,3.68149,Batch_1
F1,none,77.0,0.0,145.298,26.7343,8.55904,Batch_1
F1,none,77.0,0.0,111.047,19.7248,5.93555,Batch_1
F1,none,69.0,0.0,7.69785,2.82971,0.95234,Batch_1
F1,none,69.0,0.0,5.98333,3.51072,1.55337,Batch_1
F1,none,69.0,0.0,5.69122,3.46015,1.5499,Batch_1
F1,none,73.0,0.0,136.426,15.7176,4.00094,Batch_1
F1,none,77.0,0.0,290.132,38.024,9.56538,Batch_1
F1,none,69.0,0.0,5.19155,2.76651,1.08728,Batch_1
F1,none,73.0,0.0,156.596,16.7108,4.18925,Batch_1
F2,none,73.0,0.0,5.01842,3.26975,1.74112,Batch_1
F2,none,73.0,0.0,3.36407,1.46143,0.74888,Batch_1
F2,none,73.0,0.0,15.9984,4.19043,1.78866,Batch_1
F3,none,73.0,0.0,4.17329,3.1711,2.23806,Batch_1
F3,none,73.0,0.0,5.16984,4.16551,2.94644,Batch_1
F3,none,73.0,0.0,5.84084,4.20573,2.84946,Batch_1
F1,none,74.0,0.0,46.375,14.6302,5.73248,Batch_1
F1,Tego,73.0,0.5,8.4196,5.14894,2.87789,Batch_1
F1,Tego,77.0,0.25,47.4365,17.9263,7.49386,Batch_1
F1,Tego,77.0,0.5,58.083,13.6388,4.83647,Batch_1
F1,Tego,69.0,0.25,5.17639,3.23616,1.47255,Batch_1
F1,Tego,77.0,0.25,240.2,40.2145,10.4167,Batch_1
F1,Tego,77.0,0.25,249.96,49.5907,12.6065,Batch_1
F1,Tego,77.0,0.5,128.918,31.9626,9.70107,Batch_1
F1,Tego,77.0,0.5,86.226,22.9894,8.08975,Batch_1
F1,Tego,73.0,0.25,72.8083,13.6946,4.10114,Batch_1
F1,Tego,69.0,0.5,5.38375,3.10877,1.45976,Batch_1
F1,Tego,73.0,0.25,46.5445,8.31168,2.60581,Batch_1
F1,Tego,73.0,0.5,49.4251,10.8197,3.77266,Batch_1
F1,Tego,73.0,0.5,7.625,4.75792,2.5828,Batch_1
F1,Tego,69.0,0.25,2.76136,1.96867,0.87028,Batch_1
F1,Tego,69.0,0.5,5.43188,2.71165,1.27474,Batch_1
F1,Tego,69.0,0.25,1.6948,1.35762,0.82332,Batch_1
F1,Tego,73.0,0.25,71.2038,12.7829,3.81252,Batch_1
F1,Tego,69.0,0.5,3.05607,2.12471,0.98948,Batch_1
F2,Tego,73.0,0.5,2.63165,1.39068,0.91751,Batch_1
F2,Tego,73.0,0.5,3.14684,2.21102,1.48558,Batch_1
F2,Tego,73.0,0.5,3.38199,2.27613,1.41688,Batch_1
F3,Tego,73.0,0.5,2.50246,1.4635,1.06634,Batch_1
F3,Tego,73.0,0.5,5.36933,4.0552,2.77696,Batch_1
F3,Tego,73.0,0.5,7.35892,5.58439,3.78571,Batch_1
F1,Triton,73.0,0.5,25.2177,7.34376,3.48143,Batch_1
F1,Triton,77.0,0.25,170.996,33.4723,9.03654,Batch_1
F1,Triton,77.0,0.25,158.459,29.8562,8.77973,Batch_1
